city,lat,lon,humidity,wind_mps,temp_celsius,date_time,weather,description,risk_level
Delhi,28.6667,77.2167,63,0.0,16.1,2025-11-08 17:15:13,Haze,haze,Low
Mumbai,19.0144,72.8479,54,2.57,28.0,2025-11-08 17:13:31,Smoke,smoke,Low
Bhopal,23.2667,77.4,35,2.25,16.7,2025-11-08 17:19:35,Clear,clear sky,Low
Indore,22.7179,75.8333,48,2.06,17.1,2025-11-08 17:22:53,Haze,haze,Low
Bengaluru,12.9762,77.6033,72,3.13,20.6,2025-11-08 17:15:00,Clouds,few clouds,Low
Delhi,28.6667,77.2167,63,0.0,16.1,2025-11-08 17:29:47,Haze,haze,Low
Mumbai,19.0144,72.8479,54,2.57,28.0,2025-11-08 17:25:19,Smoke,smoke,Low
Bhopal,23.2667,77.4,34,2.06,17.1,2025-11-08 17:36:44,Haze,haze,Low
Indore,22.7179,75.8333,48,2.06,17.1,2025-11-08 17:32:22,Haze,haze,Low
Bengaluru,12.9762,77.6033,72,3.58,20.2,2025-11-08 17:31:03,Clouds,few clouds,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:15:15,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:14:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:12:47,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:17:39,Haze,haze,Low
Bengaluru,12.9762,77.6033,51,6.26,23.7,2025-11-09 04:10:32,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:15:15,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:14:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:12:47,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:17:39,Haze,haze,Low
Bengaluru,12.9762,77.6033,51,6.26,23.7,2025-11-09 04:10:32,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:15:15,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:14:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:12:47,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:17:39,Haze,haze,Low
Bengaluru,12.9762,77.6033,51,6.26,23.7,2025-11-09 04:10:32,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:15:15,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:14:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:12:47,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:17:39,Haze,haze,Low
Bengaluru,12.9762,77.6033,51,6.26,23.7,2025-11-09 04:10:32,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:15:15,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:19:42,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:12:47,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:17:39,Haze,haze,Low
Bengaluru,12.9762,77.6033,50,7.15,23.6,2025-11-09 04:24:31,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:23:39,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:19:42,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:27:13,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:23:50,Haze,haze,Low
Bengaluru,12.9762,77.6033,50,7.15,23.6,2025-11-09 04:24:31,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:23:39,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:19:42,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:27:13,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:23:50,Haze,haze,Low
Bengaluru,12.9762,77.6033,50,7.15,23.6,2025-11-09 04:24:31,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:23:39,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:19:42,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:27:13,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:23:50,Haze,haze,Low
Bengaluru,12.9762,77.6033,50,7.15,23.6,2025-11-09 04:24:31,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:23:39,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:19:42,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:27:13,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:23:50,Haze,haze,Low
Bengaluru,12.9762,77.6033,50,7.15,23.6,2025-11-09 04:24:31,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:23:39,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:30:00,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:27:13,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:23:50,Haze,haze,Low
Bengaluru,12.9762,77.6033,50,7.15,23.6,2025-11-09 04:31:47,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:38:57,Smoke,smoke,Low
Mumbai,19.0144,72.8479,47,1.54,28.0,2025-11-09 04:28:38,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:30:13,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:29:53,Haze,haze,Low
Bengaluru,12.9762,77.6033,49,7.15,23.9,2025-11-09 04:34:41,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:38:57,Smoke,smoke,Low
Mumbai,19.0144,72.8479,48,2.06,29.0,2025-11-09 04:38:53,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:40:15,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:37:30,Haze,haze,Low
Bengaluru,12.9762,77.6033,49,7.15,23.9,2025-11-09 04:34:41,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:38:57,Smoke,smoke,Low
Mumbai,19.0144,72.8479,48,2.06,29.0,2025-11-09 04:38:53,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:40:15,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:37:30,Haze,haze,Low
Bengaluru,12.9762,77.6033,49,7.15,23.9,2025-11-09 04:34:41,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:38:57,Smoke,smoke,Low
Mumbai,19.0144,72.8479,48,2.06,29.0,2025-11-09 04:38:53,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:40:15,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:37:30,Haze,haze,Low
Bengaluru,12.9762,77.6033,49,7.15,23.9,2025-11-09 04:34:41,Clear,clear sky,Low
Delhi,28.6667,77.2167,59,2.06,17.1,2025-11-09 04:38:57,Smoke,smoke,Low
Mumbai,19.0144,72.8479,48,2.06,29.0,2025-11-09 04:38:53,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:40:15,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:37:30,Haze,haze,Low
Bengaluru,12.9762,77.6033,49,7.15,23.9,2025-11-09 04:34:41,Clear,clear sky,Low
Delhi,28.6667,77.2167,55,2.06,18.1,2025-11-09 04:49:41,Smoke,smoke,Low
Mumbai,19.0144,72.8479,48,2.06,29.0,2025-11-09 04:38:53,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:40:15,Haze,haze,Low
Indore,22.7179,75.8333,38,1.54,23.1,2025-11-09 04:37:30,Haze,haze,Low
Bengaluru,12.9762,77.6033,44,8.94,25.2,2025-11-09 04:50:01,Clear,clear sky,Moderate
Delhi,28.6667,77.2167,55,2.06,18.1,2025-11-09 04:49:41,Smoke,smoke,Low
Mumbai,19.0144,72.8479,48,2.06,29.0,2025-11-09 04:49:51,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:49:17,Haze,haze,Low
Indore,22.7179,75.8333,33,2.57,24.1,2025-11-09 04:52:13,Haze,haze,Low
Bengaluru,12.9762,77.6033,44,8.94,25.2,2025-11-09 04:50:01,Clear,clear sky,Moderate
Delhi,28.6667,77.2167,55,2.06,18.1,2025-11-09 04:49:41,Smoke,smoke,Low
Mumbai,19.0144,72.8479,48,2.06,29.0,2025-11-09 04:49:51,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,22.1,2025-11-09 04:49:17,Haze,haze,Low
Indore,22.7179,75.8333,33,2.57,24.1,2025-11-09 04:52:13,Haze,haze,Low
